targy_nev,kredit,felelos,nyelv,link
Angol (nemzetközi kapcs.felsőfok t.mentes)/2,3,Dr. Erdei József,magyar,https://www.uni-corvinus.hu/tantargyak/IOK0108ANNF?semester=2024/25/2
"Angol (szakmai, közép, t.mentes)/1",3,Alapyné Homolya Katalin,magyar,https://www.uni-corvinus.hu/tantargyak/7IL50NNV15B?semester=2024/25/2
"Angol (szakmai, közép, t.mentes)/2",3,Alapyné Homolya Katalin,angol,https://www.uni-corvinus.hu/tantargyak/7IL50NNV16B?semester=2023/24/2
Applied Business Economics,3,Kozma Miklós Attila,magyar,https://www.uni-corvinus.hu/tantargyak/VGUG016NABB?semester=2024/25/2
Applied Business Economics,4,Kozma Miklós Attila,magyar,https://www.uni-corvinus.hu/tantargyak/VGUG086NABB?semester=2024/25/2
Applied Corporate Finance,6,Dr. Váradi Kata,magyar,https://www.uni-corvinus.hu/tantargyak/293NFINK502M?semester=2024/25/2
Arab (A1/1 szint t.mentes),3,Al-Akrad Eszter Fatima,magyar,https://www.uni-corvinus.hu/tantargyak/IOK0114ARAA?semester=2024/25/1
Arab (A1/2 szint t.mentes),3,Al-Akrad Eszter Fatima,magyar,https://www.uni-corvinus.hu/tantargyak/IOK0116ARAA?semester=2024/25/2
Arab (A2/1 szint t.mentes),3,Al-Akrad Eszter Fatima,magyar,https://www.uni-corvinus.hu/tantargyak/IOK0118ARAA?semester=2023/24/1
Arab (A2/2 szint t.mentes),3,Al-Akrad Eszter Fatima,magyar,https://www.uni-corvinus.hu/tantargyak/IOK0120ARAA?semester=2023/24/2
"Arab (gazdasági előkészítő B1, t.mentes/1",3,Al-Akrad Eszter Fatima,magyar,https://www.uni-corvinus.hu/tantargyak/IOK0122ARGE?semester=2024/25/1
"Arab (gazdasági, közép, t.mentes)/2",3,Al-Akrad Eszter Fatima,magyar,https://www.uni-corvinus.hu/tantargyak/IOK0128ARGK?semester=2024/25/2
Armed conflicts in the post-Soviet region 1991-2024 (1991-2024),3,Dr. Rácz András,magyar,https://www.uni-corvinus.hu/tantargyak/GLOB106NABB?semester=2024/25/2
